customer_id,full_name,gender,city,pet_preferences,date_of_birth,state
1,Floria Syms,Female,Sacramento,Small Pets,1991-02-27,CA
2,Miles Ceaser,Male,San Francisco,Cat,1973-10-14,CA
3,Maurizia Lintin,Female,Long Beach,Small Pets,1992-12-09,CA
4,Pietrek Haggar,Male,Oakland,Dog,1978-05-30,CA
5,Keary Jahndel,Male,Long Beach,Cat,1975-03-12,CA
6,Libby Hammill,Female,Santa Barbara,Cat,1980-08-23,CA
7,Minnnie Gason,Female,Irvine,Cat,1957-04-08,CA
8,Cristabel Mottershead,Female,Long Beach,Cat,1995-04-01,CA
9,Garnette Flaverty,Female,Long Beach,Farm Animals,1981-03-24,CA
10,Ilaire Mallan,Male,Santa Barbara,Cat,1982-05-08,CA
11,Carter Beeze,Male,San Francisco,No Preference,1992-01-07,CA
12,Margo Dellenty,Female,Long Beach,Cat,1955-05-06,CA
13,Lazar Hayesman,Male,Long Beach,Cat,1981-04-15,CA
14,York MacPhail,Male,Santa Barbara,Cat,1969-09-12,CA
15,Erl Rossey,Male,Los Angeles,Cat,1982-02-21,CA
16,Carlye Gurry,Female,Bakersfield,Dog,1958-07-21,CA
17,Marysa Tregiddo,Female,Irvine,Exotic,1993-01-15,CA
18,Noah Pantlin,Male,Long Beach,,1965-07-03,CA
19,Hyacinthie Kleinstein,Female,Santa Barbara,Dog,1959-03-10,CA
20,Joellyn Downs,Female,Long Beach,Cat,1998-04-16,CA
21,Eduardo Masic,Male,Fresno,Cat,1978-08-30,CA
22,Abraham Callender,Male,Oakland,Dog,1967-09-23,CA
23,Sully Mellings,Male,Long Beach,Cat,1988-03-30,CA
24,Wood Cornes,Male,Santa Barbara,Small Pets,1972-07-28,CA
25,Wat Renneke,Male,Fresno,Cat,1963-01-12,CA
26,Norbie Guinery,Male,Irvine,Small Pets,1996-02-17,CA
27,Lydon Parrin,Male,San Diego,Exotic,1986-04-28,CA
28,Fransisco Windley,Male,Oakland,Dog,1988-02-19,CA
29,Redd Rosengren,Male,Irvine,Dog,1981-12-29,CA
30,Waite Aindriu,Male,Fresno,Cat,1995-12-03,CA
31,Trudey Sherar,Female,Fresno,Dog,1975-03-10,CA
32,Dael Mazzia,Male,San Diego,Dog,1960-09-15,CA
